Company Name,Job Title,Job Description
Poultry Management Systems Inc.,Computer Systems/ Software Engineer Team Leader,"Architect write test and document new software solutions or enhancements to existing software in a maintenance capacity.
Act as the Team Lead for a local and remote development team acting as communication conduit for a globally developed solution.
Assist in the development of technical documentation software testing and Quality Assurance
Execute special New Product Development projects based on a project plan implementing them in either a lab or field environment collecting data and documenting the process.
Requirements:
Full stack web development utilizing tools such as javascript C# React Gitlab Jira MS Azure ecosystem Postgre Azure event hub (Kafka) Kubernetes for containerizing.
Proficient in the use of Wiki for documentation.
Familiarity with Scrum Agile development frameworks SAFe etc.
Ability to interact with customers professionally and confidently documenting their issues and concerns in a constructive and meaningful way.
Strong problem-solving skills
Bachelor’s degree in Computer Science Computer Engineering Electrical or Controls Engineering or equivalent experience.
Willing and able to work in an agricultural environment.
Skills/Experience desired but not necessary.
Deep learning concepts (Including edge based computing and machine vision)
Experience with Object Oriented Programming: eg. C++ Java HTML Basic
Database Architecture Delphi (Object Oriented Pascal)
Understanding of Continuous Develop Environments and associated concepts
Team skills
Daily supervision of agile development team
Work with remote teams (language and time zone flexibility required)
20% travel to Guadalajara Mexico / Vechta Germany
Poultry Management Systems offers a competitive salary and excellent benefits package including a generous allotment of Personal Time Off and a profit-sharing bonus. To learn more about PMSI and our products please visit our website at: www.pmsi.cc"
Nike,Software Engineer I (Remote Option*),"What you’ll do:
Work in a fast-paced agile environment
Work in true DevOps fashion owning the entire tech stack
Solve big engineering challenges to serve our worldwide athletes* at scale
Build and maintain services & solutions
Grow and keep our APIs fast efficient and available
Collaborate with other amazing engineers to power the most exciting digital experiences for athletes on the market
Always looking to evangelize your knowledge and learnings
What we’re looking for:
Bachelor’s degree in Computer Science or a related Engineering field or any combination of relevant equivalent experience education and training
1+ year(s) of experience writing Restful APIs
Experience with Scala Java Python React/Node.js AWS and GraphQl
Experience with Version control tools such as Github and Atlassian products as JIRA and Confluence
Experience with monitoring tools as SPLUNK and SignalFx
Experience/knowledge of Docker based deployments
Evidence of exposure to architectural patterns of a large high-scale web application (e.g. well-designed APIs high volume data pipelines efficient algorithms)
Proven ability to produce high-quality software that is unit tested code reviewed and checked in regularly for continuous integration.
Strong communication skills and great product sense
Remote Work Option – Open to remote work except cannot work in South Dakota Vermont and West Virginia. These candidates will be required to relocate."
Paypal,Software Engineer- Recent Graduate,"Key Responsibilities:
Code high-volume and scalable software (front-end and/or back-end focused). This may include creating web applications using React/Node creating back-end services using Java SQL ReST and/or building and developing new user-facing experiences
Partner closely with cross functional teams in design product and other business units
Basic Requirements:
Strong applied experience. You’ve built broken and rebuilt software applications. We’re looking for creative thinkers who also know how to create real-world products.
Working knowledge of web technologies (such as HTTP HTML/DOM JavaScript CSS AJAX)
Familiarity with any or multiple of the following: Node.js applications Java C++. Python
Understanding of concepts like Web Services SOA REST APIs
A constant desire to grow learn and explore new things
Recent Graduate Position Information and Requirements:
This is a Recent Graduate Full-Time position.
Must have graduated within the past 12 months or will be graduating by Spring 2023 with a Bachelor’s or Master’s degree in Computer Science or related field from an accredited college or university.
Must reside in the U.S.
Must be able to obtain authorization to work in the U.S.
Application Process
Note - This job posting is a general advertisement for all PayPal Software Engineer opportunities for recent graduates
Applicants will be asked to complete a skills assessment via HackerRank
Following the assessment applicants will hear back from a University Recruiter with next steps"
Spruce,Frontend Software Engineer,"As a part of the Spruce Engineering team you will help to build a cutting edge platform that will define the future of real estate transactions. In this role your strong skills and knowledge in modern web platforms frameworks and techniques will be put to the test while we create new technology based efficiencies and engineer a transparent fast transaction process that improves access to the largest source of capital most of us will ever have - real estate.
We are seeking talented frontend software engineers at all levels to join one of our teams. Engineers on our team play a critical role in developing user interfaces user-facing features and infrastructure as well as contributing to our team culture. We are looking for Senior Engineers who want to be technical leaders as well as Junior Engineers with a passion and desire to learn. As an Engineer you'll be a contributor to projects delivering value throughout the product lifecycle. You'll also bring your communication skills and unique background to help make ours a diverse fun caring and productive team.
What You'll Do
Help build Spruce's user-facing (buyers sellers clients lenders internal operations) applications and user interfaces
Collaborate using Agile methodologies with Design and Product teams to craft technical solutions to business problems
Help optimize overall system reliability and performance
Continuously learn and challenge yourself and others
Who You Are
Experience building single-page applications with React
Experience with Typescript Redux and frontend build tools (preferably Webpack)
Experience with unit testing frameworks (e.g. jest enzyme)
Experience working with APIs (preferably with Axios)
Ability to effectively communicate with non-engineers (particularly design and product)
Strong desire to lead projects and mentor less-experienced team members"
Motive Companies,Ground Software Engineer- Nanosatellites,"Seeking a motivated Ground Software Engineer to work on our Ground Software team at our Irvine CA location. Our client is a leading worldwide provider of nanosatellite and microsatellite vehicles services and solutions to Commercial and Government customers. The Ground Software team is responsible for building and maintaining the tools that enable end-to-end operations of our spacecraft as well as the entire ground segment. As a Ground Software Engineer the candidate will develop both back- and front-end applications that manage our ground segment store and visualize spacecraft telemetry and automate our mission control center.
Responsibilities
Architect the ground software framework for our next generation of space vehicles
Core focus: Develop back-end data processing applications (Python) and web servers (NodeJS) and the design of interfaces and data flow between ground segment applications.
Provide mentorship to Junior developers
Participate in software requirements generation design implementation and testing discussions.
Requirements
5+ years of software development including back-end and front-end development and database administration (B.S. in relevant field or 3 years and a Masters)
High competency with: Python and/or JavaScript; MongoDB
Exposure to: React SQL
Emphasis on application security at all levels of the system.
Experience with big-data design and system-level architecture.
Experience working in a team environment to foster the growth of junior developers and support team cohesiveness.
Per the requirement of certain facilities applicant must be eligible to obtain and maintain a U.S. TS/SCI Security Clearance and all special accesses required to work at such facilities.
Desired Skills and Experience
Familiarity with Docker and Kubernetes containerization and service orchestration systems.
Familiarity with AMQP (RabbitMQ) message queuing protocol.
Knowledge of Continuous Integration/Continuous Deployment practices and tools.
Knowledge of IT/networking basics
Demonstrated experience with generation of user displays and data visualization.
Passion for the NewSpace industry"
Mastercard,Software Development Engineer I,"The Mastercard Decision Management Program has an exciting opportunity for strong innovative Software Engineers to join our innovation team and develop the next generation of cloud-native high throughput low latency AI-driven intelligent transaction processing services.
In this role you will research new approaches to solving critical problem in the Payment decisioning space and validate them implementing Proof-of-Concepts leveraging event-driven and microservice architecture in an agile delivery process.
We are looking for engineers who can bring unique perspectives and innovative ideas to all areas of development and are interested in continuing to improve our platform through the ever-changing technology landscape.
Are you passionate about software engineering?
Do you enjoy seeing the impact your code has on a wide range of customers?
Do you want to innovate using cutting edge technologies on challenging business problems?
Do you want to join a Company that offers a competitive benefits-and rewards program that attracts develops and retains the most talented employees around the world?
Do you thrive in a place where you are continuously learning more while growing your skills and career?
Do you want to join an inclusive culture where employees in all their diversity feel valued respected and who can bring their authentic selves to work? Learn more at Mastercard’s Corporate Sustainability Report.
All About You
Bachelor’s in Computer Science/ Technical Degree or related equivalent experience.
Hands-on developer who writes high quality secure code for a small to mid-sized component or feature that is modular functional and testable.
Contribute to all parts of the software’s development including design development documentation and testing.
Ability to understand new concepts quickly and apply them accurately through an evolving dynamic agile environment
high-energy detail-oriented proactive and have the ability to function under pressure in an independent environment.
Communicate collaborate and work effectively in a global environment.
Strong foundation in algorithms data structures and core computer science concepts.
Evidence of working with object-oriented development and design patterns.
Proficiency in one or more modern programming languages such as Java Python C++ etc.
Experience working in an Agile environment. In the US Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender gender identity sexual orientation race ethnicity disabled or veteran status or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.
Corporate Security Responsibility
All activities involving access to Mastercard assets information and networks comes with an inherent risk to the organization and therefore it is expected that every person working for or on behalf of Mastercard is responsible for information security and must:
Abide by Mastercard’s security policies and practices;
Ensure the confidentiality and integrity of the information being accessed;
Report any suspected information security violation or breach and
Complete all periodic mandatory security trainings in accordance with Mastercard’s guidelines."
Comscore,Software Engineer,"Builds complex large-scale client applications and large distributed systems that collect aggregate transform and distribute data for further analysis. Some roles develop components that run on PCs or mobile devices and collect large volumes of user behavioral data through reverse engineering. More senior roles design coordinate and implement product development initiatives provide strategic leadership and ensure the designs and development of world-class system capability. May serve as technical consultant to other teams.
Key Activities:
Builds complex large scale client applications and/or large distributed systems; owns discrete tasks; designs develops and tests code
Solves simpler technical challenges
May work in cross-functional teams to identify and resolve data quality issues
Participates in ongoing research and evaluates new systems
Performs discrete coding tasks; works in a single work stream
Solves problems of limited scope in a timely manner; fixes bugs; changes minor features
Follows set coding standards
Maintains system; provides limited product support
Core Qualifications:
Bachelors degree
0-2 years systems development experience
Proficient in computing languages
Experience with HTTP protocols
Understanding of database architecture
Strong verbal and written communication skills
Aptitude/desire to code
Intellectual curiosity and creativity
Solid business ethics
Able to work well in a fast paced team-oriented environment"
Syndio,Software Engineer Backend,"We are looking for someone who's excited to join the backend engineering team and collaborate on challenges at a fast-paced startup. You will join Syndio at a critical moment as we invest in our growing engineering teams to evolve the platform to meet increasingly complex user needs. Customer success hinges on high-quality platform and application development. Your solid and dependable software engineering work for our products will have a meaningful impact on helping companies achieve fairness in the workplace. Collaborate with senior engineers to design and develop small to mid-size features and services delivered to Syndio end users.
Execute pragmatic and scalable solutions that will grow with our company.
Work with the entire engineering organization (frontend product and site reliability) to ensure backend projects meet all team requirements.
Focus on secure coding practices and maintainability to ensure new feature implementations fit the needs of a growing engineering organization.
Contribute to and guide the engineering organization's best practices. You are growing your technical leadership with the ability to propose solutions based on your experience and incorporating feedback from your team.
You want to be an individual contributor designing and implementing cutting-edge engineering approaches.
You're interested in enterprise technology applications architecture design development and maintenance with a strong focus on performance reliability and security.
You excel in a collaborative environment supported by a strong team of design and engineering resources.
You are ready to work with teams across the organization to ensure the needs of our users are being met.
You have good communication skills that enable you to interface with both technical and non-technical teams.
You bring problem-solving and critical thinking skills to our dynamic startup environment.
You are passionate about our mission to close pay gaps and create fairness in the workplace. Software Engineering experience with an emphasis on scalable and maintainable cloud-based technology platforms (we use Python & Go)
Experience architecting cloud based applications (we use GCP)
Experience with PostgreSQL Redis Cloud PubSub or similar solutions
Strong knowledge of API architecture and experience building APIs. Within 1 month you'll have completed a comprehensive and supportive onboarding process to help you understand the product the business and the customer journey. You will have shipped code to our production environment.
Within 3 months you'll be part of a product team collaborating and making significant contributions to the delivery of new features.
Within 6 months you'll be collaborating with senior engineers on the design of a feature you will be the primary backend engineer on.
Within 12 months you'll be launching new features that our customers are successfully using at scale."
KBR,Senior Level Software Engineer/Platform System Manager,"Work with a team lead to define software requirements
Design & develop system software for our customers
Explore new areas or program in new languages to deliver a complete product
Support on-site meetings and deliveries to customers. Minimum of 8 years of software development object-oriented design and programming including design coding and testing experience
Experience with Web Services and JavaScript (e.g. ReactJS)
Bachelor’s degree in Computer Science Engineering or related discipline
Strong communication and interpersonal skills
Ability to work independently as well as part of a team to achieve customer and company goals
Supervisory experience for a team of engineers
DevOps Engineer (with >6 years of experience in configuration control testing security automation containerization orchestration and cloud services open source technologies)
Hands-on experience with Java C/C++ C# and/or Python.
Experience with Postgres and MySQLAWS and Azure experienceFamiliarity with Agile and/or DevSecOps proceduresSecurity+ or CISSP certificationSoftware Tester / Quality Assurance Specialist (with >6 years of experience in software testing and >1 year of experience in software quality assurance).Contractor Product Owner (with >6 years of experience in software management and managing a backlog of requirements)Master’s degree in Computer Science Engineering or related discipline"
Twitch,Software Engineer - Sitewide Safety,"We are looking for a passionate full stack software engineer who is excited to solve challenging platform safety problems. As a software engineer on Twitch's Sitewide Safety team you will create and maintain features used by Twitch users and internal Safety operators to ensure our users have positive safe experiences on Twitch.
You can work in San Francisco CA; Irvine CA; Seattle WA; New York NY; and Salt Lake City UT.
You Will:
Embrace and champion engineering best practices with the team and Twitch
Produce clean high quality and well tested code
Work with engineers product managers designers and other collaborators to build Safety products
Partner with other engineering teams to collaborate on complex projects together
You Have:
BA/BS in computer science or equivalent industry experience
3+ years of work experience as a software engineer
Development experience in one or more general purpose programming languages: Java Python Ruby C/C++ Golang JavaScript
Experience working with Git
An opportunity to work with a diverse group of people
Bonus Points
Proficiency in full stack development
Familiarity in the AWS ecosystem of services
Experience building highly available and resilient systems
Fluency in some subset of UI design data modeling algorithms and database schema design"
